Straßennummer;Straßenname;Folge;Hausnr. (von);Zusatz zur Hausnr (von);Hausnr. (bis);Zusatz zur Hausnr (bis);Ortsbezirk;Stadtteil Name;Stadtbezirk;Stadtbezirksvorst;Schiedsamtsbezirk;Sozialrathausbezirk;Sozialbezirk;Polizeirevier;Postleitzahl
2510;"Wiesenstraße";"ungerade";"";"";"";"";"4 ";"Bornheim";"240";"4.23";" 4";"A1";15;"6";60385
2511;"Wildenbruchstraße";"";"";"";"";"";"9 ";"Dornbusch";"442";"9.68";" 9";"B3";38;"12";60431
2512;"Wildentenstraße";"";"";"";"";"";"6 ";"Griesheim";"552";"6.41";"6A";"A3";52;"16";65933
2513;"Wildgäßchen";"";"";"";"";"";"5 ";"Oberrad";"380";"5.28";"5A";"A6";30;"8";60599
2514;"Wildunger Straße";"";"";"";"";"";"2 ";"Bockenheim";"361";"2.12";" 2";"A4";27;"13";60487
2515;"Wilhelm-Beer-Weg";"";"";"";"";"";"5 ";"Sachsenhausen-Süd";"332";"5.29";"5A";"A6";24;"8";60599
2516;"Wilhelm-Busch-Straße";"";"";"";"";"";"9 ";"Dornbusch";"442";"9.68";" 9";"B3";38;"12";60431
2517;"Wilhelm-Epstein-Straße";"gerade";"";"";"";"";"2 ";"Bockenheim";"362";"2.12";" 2";"A4";27;"12";60431
2517;"Wilhelm-Epstein-Straße";"ungerade";"5";"";"93";"";"9 ";"Ginnheim";"441";"9.67";" 9";"A2";38;"12";60431
2517;"Wilhelm-Epstein-Straße";"ungerade";"95";"";"127";"";"9 ";"Dornbusch";"442";"9.68";" 9";"B3";38;"12";60431
2518;"Wilhelm-Hauff-Straße";"";"";"";"";"";"2 ";"Westend-Süd";"170";"2.11";" 2";"A4";3;"13";60325
2519;"Wilhelm-Kobelt-Straße";"";"";"";"";"";"6 ";"Schwanheim";"531";"6.38";"6A";"A6";50;"10";60529
2520;"Wilhelm-Leuschner-Straße";"gerade";"2";"";"44";"";"1 ";"Bahnhofsviertel";"090";"1.03";" 1";"A3";2;"4";60329
2520;"Wilhelm-Leuschner-Straße";"gerade";"68";"";"82";"";"1 ";"Gutleutviertel";"151";"1.04";" 1";"A3";2;"4";60329
2520;"Wilhelm-Leuschner-Straße";"ungerade";"5";"";"55";"";"1 ";"Bahnhofsviertel";"090";"1.03";" 1";"A3";2;"4";60329
2520;"Wilhelm-Leuschner-Straße";"ungerade";"67";"";"95";"";"1 ";"Gutleutviertel";"151";"1.04";" 1";"A3";2;"4";60329
2521;"Wilhelm-Roser-Weg";"";"";"";"";"";"6 ";"Unterliederbach";"621";"6.51";"6C";"A7";57;"17";65929
2522;"Wilhelmsbader Weg";"";"";"";"";"";"11";"Fechenheim";"510";"11.77";"11";"A1";48;"18";60386
2523;"Wilhelmshavener Straße";"";"";"";"";"";"6 ";"Griesheim";"542";"6.40";"6A";"A3";52;"16";65933
2524;"Wilhelmshöher Straße";"";"";"";"";"";"11";"Seckbach";"390";"11.75";"11";"A1";31;"6";60389
2525;"Willemerstraße";"gerade";"";"";"";"";"5 ";"Sachsenhausen-Nord";"331";"5.31";"5A";"A6";20;"8";60594
2525;"Willemerstraße";"ungerade";"1";"";"7";"";"5 ";"Sachsenhausen-Nord";"300";"5.31";"5A";"A6";20;"8";60594
2525;"Willemerstraße";"ungerade";"11";"";"31";"";"5 ";"Sachsenhausen-Nord";"331";"5.31";"5A";"A6";20;"8";60594
2526;"Willibrachtstraße";"";"";"";"";"";"9 ";"Eschersheim";"452";"9.66";" 9";"B3";39;"12";60431
2527;"Willmannstraße";"";"";"";"";"";"11";"Fechenheim";"510";"11.77";"11";"A1";48;"18";60386
2528;"Windeckstraße";"gerade";"";"";"";"";"4 ";"Ostend";"261";"4.27";" 4";"A1";6;"5";60314
2528;"Windeckstraße";"ungerade";"";"";"";"";"4 ";"Ostend";"140";"4.26";" 4";"A1";6;"5";60314
2529;"Windmühlstraße";"";"";"";"";"";"1 ";"Bahnhofsviertel";"090";"1.03";" 1";"A3";2;"4";60329
2530;"Windthorststraße";"gerade";"";"";"";"";"6 ";"Höchst";"570";"6.44";"6C";"A7";54;"17";65929
2530;"Windthorststraße";"ungerade";"117";"";"127";"";"6 ";"Unterliederbach";"622";"6.52";"6C";"A7";57;"17";65929
2530;"Windthorststraße";"ungerade";"19";"";"113";"";"6 ";"Höchst";"570";"6.44";"6C";"A7";54;"17";65929
2531;"Wingertstraße";"";"";"";"";"";"4 ";"Ostend";"251";"4.25";" 4";"A1";16;"5";60316
2532;"Winterbachstraße";"gerade";"12";"";"46";"";"9 ";"Dornbusch";"462";"9.69";" 9";"B3";41;"12";60320
2532;"Winterbachstraße";"gerade";"2";"";"10";"";"3 ";"Nordend-West";"202";"3.16";" 3";"B3";11;"12";60320
2532;"Winterbachstraße";"ungerade";"1";"";"7";"B";"3 ";"Nordend-West";"202";"3.16";" 3";"B3";11;"12";60320
2532;"Winterbachstraße";"ungerade";"9";"";"47";"";"9 ";"Dornbusch";"462";"9.69";" 9";"B3";41;"12";60320
2533;"Winterstraße";"";"";"";"";"";"7 ";"Rödelheim";"401";"7.55";" 7";"A4";32;"11";60489
2534;"Wismarer Straße";"";"";"";"";"";"2 ";"Westend-Nord";"191";"2.09";" 2";"B3";4;"3";60323
2535;"Wittelsbacherallee";"gerade";"112";"";"136";"";"4 ";"Bornheim";"282";"4.24";" 4";"A1";19;"5";60385
2535;"Wittelsbacherallee";"gerade";"140";"";"190";"";"4 ";"Bornheim";"281";"4.24";" 4";"A1";19;"6";60385
2535;"Wittelsbacherallee";"gerade";"2";"";"50";"";"4 ";"Ostend";"251";"4.25";" 4";"A1";16;"5";60316
2535;"Wittelsbacherallee";"gerade";"54";"";"108";"";"4 ";"Ostend";"252";"4.25";" 4";"A1";16;"5";60385
2535;"Wittelsbacherallee";"ungerade";"1";"";"17";"";"4 ";"Ostend";"140";"4.26";" 4";"A1";6;"5";60316
2535;"Wittelsbacherallee";"ungerade";"119";"";"153";"";"4 ";"Bornheim";"282";"4.24";" 4";"A1";19;"5";60385
2535;"Wittelsbacherallee";"ungerade";"157";"";"205";"";"4 ";"Bornheim";"281";"4.24";" 4";"A1";19;"6";60385
2535;"Wittelsbacherallee";"ungerade";"21";"";"53";"";"4 ";"Ostend";"251";"4.25";" 4";"A1";16;"5";60316
2535;"Wittelsbacherallee";"ungerade";"55";"";"117";"";"4 ";"Ostend";"252";"4.25";" 4";"A1";16;"5";60385
2536;"Wöhlerstraße";"";"";"";"";"";"2 ";"Westend-Süd";"110";"2.10";" 2";"A4";4;"3";60323
2537;"Wöllstädter Straße";"";"";"";"";"";"4 ";"Bornheim";"272";"4.22";" 4";"A1";18;"6";60385
2538;"Wörbachstraße";"";"";"";"";"";"8 ";"Heddernheim";"431";"8.61";" 8";"A2";37;"14";60439
2539;"Wörsdorfer Straße";"";"";"";"";"";"1 ";"Gallus";"165";"1.08";" 1";"A3";8;"4";60326
2541;"Wolfhagener Straße";"";"";"";"";"";"9 ";"Dornbusch";"462";"9.69";" 9";"B3";41;"12";60433
2542;"Wolf-Heidenheim-Straße";"";"";"";"";"";"7 ";"Rödelheim";"402";"7.56";" 7";"A4";33;"11";60489
2543;"Wolfsgangstraße";"gerade";"2";"";"70";"";"3 ";"Nordend-West";"203";"3.16";" 3";"B3";11;"3";60322
2543;"Wolfsgangstraße";"gerade";"76";"";"160";"";"2 ";"Westend-Nord";"191";"2.09";" 2";"B3";4;"3";60322
2543;"Wolfsgangstraße";"ungerade";"1";"";"61";"";"3 ";"Nordend-West";"201";"3.21";" 3";"B3";11;"3";60322
2543;"Wolfsgangstraße";"ungerade";"63";"";"157";"";"2 ";"Westend-Nord";"191";"2.09";" 2";"B3";4;"3";60322
2544;"Woogstraße";"";"";"";"";"";"9 ";"Ginnheim";"441";"9.67";" 9";"A2";38;"12";60431
2545;"Wormser Straße";"";"";"";"";"";"5 ";"Sachsenhausen-Süd";"323";"5.30";"5A";"A6";22;"8";60598
2546;"Würzburger Straße";"";"";"";"";"";"4 ";"Ostend";"252";"4.25";" 4";"A1";16;"5";60385
2548;"Wurmbachstraße";"";"";"";"";"";"2 ";"Bockenheim";"361";"2.12";" 2";"A4";27;"13";60487
2549;"Wurzelstraße";"";"";"";"";"";"1 ";"Gutleutviertel";"151";"1.04";" 1";"A3";2;"4";60327
2550;"Zaunstraße";"";"";"";"";"";"9 ";"Eschersheim";"451";"9.65";" 9";"B3";39;"12";60433
2551;"Zehnmorgenstraße";"";"";"";"";"";"9 ";"Eschersheim";"451";"9.65";" 9";"B3";39;"12";60433
2552;"Zehntgasse";"";"";"";"";"";"6 ";"Schwanheim";"531";"6.38";"6A";"A6";50;"10";60529
2553;"Zehnthofgasse";"";"";"";"";"";"6 ";"Sindlingen";"601";"6.47";"6B";"A7";55;"17";65931
2554;"Zeil";"gerade";"2";"";"68";"";"1 ";"Innenstadt";"070";"1.01";" 1";"A1";1;"1";60313
2554;"Zeil";"gerade";"70";"";"126";"";"1 ";"Innenstadt";"060";"1.02";" 1";"A1";1;"1";60313
2554;"Zeil";"ungerade";"1";"";"49";"";"1 ";"Innenstadt";"070";"1.01";" 1";"A1";1;"1";60313
2554;"Zeil";"ungerade";"51";"";"57";"";"1 ";"Altstadt";"010";"1.01";" 1";"A1";1;"1";60313
2554;"Zeil";"ungerade";"65";"";"131";"";"1 ";"Innenstadt";"060";"1.02";" 1";"A1";1;"1";60313
2555;"Zeilweg";"";"";"";"";"";"8 ";"Heddernheim";"431";"8.61";" 8";"A2";37;"14";60439
2556;"Zeißelstraße";"";"";"";"";"";"3 ";"Nordend-West";"211";"3.19";" 3";"A1";12;"3";60318
2557;"Zelterstraße";"";"";"";"";"";"6 ";"Schwanheim";"531";"6.38";"6A";"A6";50;"10";60529
2558;"Zentgrafenstraße";"";"";"";"";"";"11";"Seckbach";"390";"11.75";"11";"A1";31;"6";60389
2559;"Zentmarkweg";"";"";"";"";"";"7 ";"Rödelheim";"402";"7.56";" 7";"A4";33;"11";60489
2560;"Zeppelinallee";"gerade";"36";"";"76";"";"2 ";"Bockenheim";"362";"2.12";" 2";"A4";27;"13";60487
2560;"Zeppelinallee";"gerade";"6";"";"26";"";"2 ";"Westend-Süd";"180";"2.10";" 2";"A4";4;"3";60325
2560;"Zeppelinallee";"ungerade";"13";"";"";"";"2 ";"Bockenheim";"361";"2.12";" 2";"A4";27;"13";60325
2560;"Zeppelinallee";"ungerade";"15";"";"43";"";"2 ";"Bockenheim";"362";"2.12";" 2";"A4";27;"13";60325
2560;"Zeppelinallee";"ungerade";"45";"";"113";"";"2 ";"Bockenheim";"362";"2.12";" 2";"A4";27;"13";60487
2561;"Zeuläckerstraße";"";"";"";"";"";"11";"Seckbach";"390";"11.75";"11";"A1";31;"6";60389
2562;"Ziegelgasse";"";"";"";"";"";"1 ";"Altstadt";"010";"1.01";" 1";"A1";1;"1";60311
2563;"Ziegelhüttenplatz";"";"";"";"";"";"5 ";"Sachsenhausen-Süd";"323";"5.30";"5A";"A6";22;"8";60598
2564;"Ziegelhüttenweg";"gerade";"2";"";"30";"";"5 ";"Sachsenhausen-Süd";"323";"5.30";"5A";"A6";22;"8";60598
2564;"Ziegelhüttenweg";"gerade";"40";"";"178";"";"5 ";"Sachsenhausen-Süd";"326";"5.34";"5A";"A6";23;"8";60598
2564;"Ziegelhüttenweg";"ungerade";"1";"";"49";"";"5 ";"Sachsenhausen-Süd";"323";"5.30";"5A";"A6";22;"8";60598
2564;"Ziegelhüttenweg";"ungerade";"325";"";"";"";"5 ";"Sachsenhausen-Süd";"323";"5.30";"5A";"A6";22;"8";60598
2564;"Ziegelhüttenweg";"ungerade";"51";"";"221";"";"5 ";"Sachsenhausen-Süd";"326";"5.34";"5A";"A6";23;"8";60598
2565;"Ziegenhainer Straße";"";"";"";"";"";"9 ";"Dornbusch";"462";"9.69";" 9";"B3";41;"12";60433
2566;"Zillestraße";"";"";"";"";"";"7 ";"Praunheim";"423";"7.59";" 7";"A4";34;"11";60488
2567;"Zimmerweg";"";"";"";"";"";"2 ";"Westend-Süd";"100";"2.11";" 2";"A4";3;"13";60325
2568;"Zinzendorfweg";"";"";"";"";"";"6 ";"Sossenheim";"631";"6.53";"6C";"A7";58;"17";65936
2569;"Zobelstraße";"";"";"";"";"";"4 ";"Ostend";"140";"4.26";" 4";"A1";6;"5";60316
2571;"Zorbachstraße";"";"";"";"";"";"10";"Preungesheim";"470";"10.73";"10";"B3";42;"12";60435
2572;"Zuckschwerdtstraße";"gerade";"10";"";"56";"";"6 ";"Höchst";"580";"6.45";"6C";"A7";54;"17";65929
2572;"Zuckschwerdtstraße";"gerade";"58";"";"";"";"6 ";"Höchst";"570";"6.44";"6C";"A7";54;"17";65929
2572;"Zuckschwerdtstraße";"ungerade";"1";"";"45";"";"6 ";"Höchst";"580";"6.45";"6C";"A7";54;"17";65929
2572;"Zuckschwerdtstraße";"ungerade";"47";"";"59";"";"6 ";"Höchst";"570";"6.44";"6C";"A7";54;"17";65929
2573;"Zum-Jungen-Straße";"";"";"";"";"";"9 ";"Dornbusch";"463";"9.69";" 9";"B3";41;"12";60320
2574;"Zum Linnegraben";"gerade";"";"";"";"";"6 ";"Griesheim";"542";"6.40";"6A";"A3";52;"16";65933
2574;"Zum Linnegraben";"ungerade";"";"";"";"";"6 ";"Griesheim";"552";"6.41";"6A";"A3";52;"16";65933
2575;"Zum Pfarrturm";"";"";"";"";"";"1 ";"Altstadt";"010";"1.01";" 1";"A1";1;"1";60311
2576;"Zur Friedenseiche";"";"";"";"";"";"6 ";"Sindlingen";"601";"6.47";"6B";"A7";55;"17";65931
2577;"Zur Waldau";"";"";"";"";"";"6 ";"Schwanheim";"532";"6.37";"6A";"A6";51;"10";60529
2578;"Zwingergasse";"";"";"";"";"";"1 ";"Innenstadt";"050";"1.02";" 1";"A1";1;"1";60313
2580;"Zwischenstraße";"";"";"";"";"";"5 ";"Sachsenhausen-Nord";"331";"5.31";"5A";"A6";20;"8";60594
2581;"Holzweg";"";"";"";"";"";"7 ";"Praunheim";"423";"7.59";" 7";"A4";34;"11";60488
2582;"Rosenhof (Wohnplatz)";"";"";"";"";"";"6 ";"Sossenheim";"632";"6.54";"6C";"A7";58;"17";65936
2583;"Kaiserleibrücke";"";"";"";"";"";"4 ";"Ostend";"261";"4.27";" 4";"A1";6;"5";60314
2584;"Nidaforum";"";"";"";"";"";"8 ";"Heddernheim";"432";"8.62";" 8";"A2";36;"14";60439
2585;"Limescorso";"";"";"";"";"";"8 ";"Heddernheim";"432";"8.62";" 8";"A2";36;"14";60439
2586;"Nidacorso";"";"";"";"";"";"8 ";"Heddernheim";"432";"8.62";" 8";"A2";36;"14";60439
2587;"Tituscorso";"";"";"";"";"";"8 ";"Heddernheim";"432";"8.62";" 8";"A2";36;"14";60439
2588;"Niederurseler Steg";"";"";"";"";"";"8 ";"Heddernheim";"432";"8.62";" 8";"A2";36;"14";60439
2590;"Römerstadtsteg";"";"";"";"";"";"8 ";"Heddernheim";"432";"8.62";" 8";"A2";36;"14";60439
2591;"Praunheimer Steg";"";"";"";"";"";"8 ";"Heddernheim";"432";"8.62";" 8";"A2";36;"14";60439
2592;"Martin-Luther-King-Park";"";"";"";"";"";"8 ";"Niederursel";"481";"8.63";" 8";"A2";43;"14";60439
2593;"Arolser Straße";"";"";"";"";"";"11";"Seckbach";"390";"11.75";"11";"A1";31;"6";60389
2594;"Atzelbergstraße";"";"";"";"";"";"11";"Seckbach";"390";"11.75";"11";"A1";31;"6";60389
2595;"Atzelbergplatz";"";"";"";"";"";"11";"Seckbach";"390";"11.75";"11";"A1";31;"6";60389
2597;"Am Galgen (Wohnplatz)";"";"";"";"";"";"11";"Seckbach";"390";"11.75";"11";"A1";31;"6";60389
2598;"Am Hohlacker";"";"";"";"";"";"10";"Berkersheim";"500";"10.74";"10";"A2";47;"14";60435
2599;"An der Roseneller";"";"";"";"";"";"10";"Berkersheim";"500";"10.74";"10";"A2";47;"14";60435
2600;"Konrad-Adenauer-Straße";"gerade";"";"";"";"";"1 ";"Innenstadt";"070";"1.01";" 1";"A1";1;"1";60313
2600;"Konrad-Adenauer-Straße";"ungerade";"17";"";"";"";"1 ";"Innenstadt";"060";"1.02";" 1";"A1";1;"1";60313
2600;"Konrad-Adenauer-Straße";"ungerade";"5";"";"15";"";"1 ";"Innenstadt";"070";"1.01";" 1";"A1";1;"1";60313
2601;"Saonestraße";"";"";"";"";"";"5 ";"Niederrad";"373";"5.36";"5B";"A6";29;"10";60528
2602;"Eleonore-Sterling-Straße";"";"";"";"";"";"9 ";"Eschersheim";"451";"9.65";" 9";"B3";39;"12";60433
2603;"Ferdinand-Porsche-Straße";"gerade";"";"";"";"";"11";"Fechenheim";"520";"11.78";"11";"A1";49;"18";60386
2603;"Ferdinand-Porsche-Straße";"ungerade";"17";"";"53";"";"11";"Fechenheim";"520";"11.78";"11";"A1";49;"18";60386
2603;"Ferdinand-Porsche-Straße";"ungerade";"5";"";"15";"";"11";"Fechenheim";"510";"11.77";"11";"A1";48;"18";60386
2604;"Coventrystraße";"";"";"";"";"";"6 ";"Nied";"562";"6.43";"6A";"A7";53;"16";65934
2605;"Birminghamstraße";"";"";"";"";"";"6 ";"Nied";"562";"6.43";"6A";"A7";53;"16";65934
2606;"Am Niddatal";"";"";"";"";"";"7 ";"Hausen";"410";"7.58";" 7";"A4";26;"11";60488
2607;"Im Waldfeld";"";"";"";"";"";"7 ";"Hausen";"410";"7.58";" 7";"A4";26;"11";60488
2608;"An der Lühe";"";"";"";"";"";"7 ";"Hausen";"410";"7.58";" 7";"A4";26;"11";60488
2609;"Am Hirtenacker";"";"";"";"";"";"7 ";"Hausen";"410";"7.58";" 7";"A4";26;"11";60488
2610;"An der Litzelwiese";"gerade";"";"";"";"";"7 ";"Praunheim";"424";"7.60";" 7";"A4";35;"11";60488
2610;"An der Litzelwiese";"ungerade";"";"";"";"";"7 ";"Hausen";"410";"7.58";" 7";"A4";26;"11";60488
2611;"Im Heisenrath";"";"";"";"";"";"6 ";"Schwanheim";"532";"6.37";"6A";"A6";51;"10";60529
2612;"Mailänder Straße";"";"";"";"";"";"5 ";"Sachsenhausen-Süd";"323";"5.30";"5A";"A6";22;"8";60598
2613;"Morsestraße";"";"";"";"";"";"7 ";"Bockenheim";"343";"7.57";" 2";"A4";26;"11";60486
2614;"Im Mainfeld";"";"";"";"";"";"5 ";"Niederrad";"371";"5.35";"5B";"A6";28;"10";60528
2615;"An der Nachtweide";"";"";"";"";"";"9 ";"Eschersheim";"451";"9.65";" 9";"B3";39;"12";60433
2616;"An der Fischerweide";"";"";"";"";"";"10";"Eckenheim";"461";"10.72";"10";"B3";40;"12";60435
2617;"Mercatorstraße";"gerade";"";"";"";"";"3 ";"Nordend-Ost";"130";"3.20";" 3";"A1";5;"3";60316
2617;"Mercatorstraße";"ungerade";"";"";"";"";"3 ";"Nordend-West";"120";"3.21";" 3";"A1";5;"3";60316
2618;"Heinrich-Kraft-Park";"";"";"";"";"";"11";"Fechenheim";"510";"11.77";"11";"A1";48;"18";60386
2619;"Guerickestraße";"";"";"";"";"";"7 ";"Rödelheim";"401";"7.55";" 7";"A4";32;"11";60488
2620;"Ossietzkystraße";"";"";"";"";"";"5 ";"Sachsenhausen-Süd";"323";"5.30";"5A";"A6";22;"8";60598
2621;"Tucholskystraße";"";"";"";"";"";"5 ";"Sachsenhausen-Süd";"323";"5.30";"5A";"A6";22;"8";60598
2623;"Grazer Weg";"";"";"";"";"";"5 ";"Oberrad";"380";"5.28";"5A";"A6";30;"8";60599
2624;"Peter-Henlein-Straße";"";"";"";"";"";"10";"Eckenheim";"461";"10.72";"10";"B3";40;"12";60435
2625;"Senefelderweg";"";"";"";"";"";"10";"Eckenheim";"461";"10.72";"10";"B3";40;"12";60435
2626;"Kilianstädter Straße";"";"";"";"";"";"11";"Fechenheim";"510";"11.77";"11";"A1";48;"18";60386
2627;"Bruno-Stürmer-Straße";"";"";"";"";"";"6 ";"Schwanheim";"532";"6.37";"6A";"A6";51;"10";60529
2628;"Am Poloplatz";"";"";"";"";"";"5 ";"Niederrad";"373";"5.36";"5B";"A6";29;"10";60528
2629;"Miquelanlage";"";"";"";"";"";"2 ";"Bockenheim";"362";"2.12";" 2";"A4";27;"12";60431
2630;"Rosa-Luxemburg-Straße";"";"";"";"";"";"2 ";"Bockenheim";"362";"2.12";" 2";"A4";27;"12";60431
2630;"Rosa-Luxemburg-Straße";"";"";"";"";"";"2 ";"Bockenheim";"362";"2.12";" 2";"A4";27;"12";60487
2630;"Rosa-Luxemburg-Straße";"";"";"";"";"";"2 ";"Bockenheim";"362";"2.12";" 2";"A4";27;"3";60431
2630;"Rosa-Luxemburg-Straße";"";"";"";"";"";"2 ";"Bockenheim";"362";"2.12";" 2";"A4";27;"3";60487
2630;"Rosa-Luxemburg-Straße";"";"";"";"";"";"8 ";"Heddernheim";"431";"8.61";" 8";"A2";37;"14";60439
2630;"Rosa-Luxemburg-Straße";"";"";"";"";"";"8 ";"Heddernheim";"432";"8.62";" 8";"A2";36;"14";60439
2630;"Rosa-Luxemburg-Straße";"";"";"";"";"";"8 ";"Niederursel";"481";"8.63";" 8";"A2";43;"14";60438
2630;"Rosa-Luxemburg-Straße";"";"";"";"";"";"8 ";"Niederursel";"481";"8.63";" 8";"A2";43;"14";60439
2630;"Rosa-Luxemburg-Straße";"";"";"";"";"";"8 ";"Niederursel";"482";"8.64";" 8";"A2";44;"14";60438
2630;"Rosa-Luxemburg-Straße";"";"";"";"";"";"8 ";"Niederursel";"482";"8.64";" 8";"A2";44;"14";60439
2630;"Rosa-Luxemburg-Straße";"";"";"";"";"";"8 ";"Niederursel";"483";"8.63";" 8";"A2";43;"14";60438
2630;"Rosa-Luxemburg-Straße";"";"";"";"";"";"8 ";"Niederursel";"483";"8.63";" 8";"A2";43;"14";60439
2630;"Rosa-Luxemburg-Straße";"";"";"";"";"";"8 ";"Niederursel";"484";"8.63";" 8";"A2";43;"14";60438
2630;"Rosa-Luxemburg-Straße";"";"";"";"";"";"8 ";"Niederursel";"484";"8.63";" 8";"A2";43;"14";60439
2630;"Rosa-Luxemburg-Straße";"";"";"";"";"";"9 ";"Ginnheim";"441";"9.67";" 9";"A2";38;"12";60431
2630;"Rosa-Luxemburg-Straße";"";"";"";"";"";"9 ";"Ginnheim";"441";"9.67";" 9";"A2";38;"12";60439
2630;"Rosa-Luxemburg-Straße";"";"";"";"";"";"9 ";"Ginnheim";"441";"9.67";" 9";"A2";38;"14";60431
2630;"Rosa-Luxemburg-Straße";"";"";"";"";"";"9 ";"Ginnheim";"441";"9.67";" 9";"A2";38;"14";60439
2630;"Rosa-Luxemburg-Straße";"";"";"";"";"";"9 ";"Dornbusch";"442";"9.68";" 9";"B3";38;"12";60431
2631;"Julius-Leber-Weg";"";"";"";"";"";"6 ";"Sossenheim";"632";"6.54";"6C";"A7";58;"17";65936
2632;"Ernst-Wiss-Straße";"";"";"";"";"";"6 ";"Griesheim";"552";"6.41";"6A";"A3";52;"16";65933
2634;"Robert-Dißmann-Straße";"";"";"";"";"";"6 ";"Sossenheim";"632";"6.54";"6C";"A7";58;"17";65936
2635;"Toni-Sender-Straße";"";"";"";"";"";"6 ";"Sossenheim";"632";"6.54";"6C";"A7";58;"17";65936
2636;"Alte Fahrt";"";"";"";"";"";"13";"Nieder-Erlenbach";"640";"13.80";"13";"A2";59;"14";60437
2637;"Alt-Erlenbach";"";"";"";"";"";"13";"Nieder-Erlenbach";"640";"13.80";"13";"A2";59;"14";60437
2638;"Am Bier";"";"";"";"";"";"13";"Nieder-Erlenbach";"640";"13.80";"13";"A2";59;"14";60437
2639;"Am Buchbaum";"";"";"";"";"";"13";"Nieder-Erlenbach";"640";"13.80";"13";"A2";59;"14";60437
2640;"Am Eichbaum";"";"";"";"";"";"13";"Nieder-Erlenbach";"640";"13.80";"13";"A2";59;"14";60437
2641;"Am Klingelborn";"";"";"";"";"";"13";"Nieder-Erlenbach";"640";"13.80";"13";"A2";59;"14";60437
2642;"Am Satz";"";"";"";"";"";"13";"Nieder-Erlenbach";"640";"13.80";"13";"A2";59;"14";60437
2643;"Am Steinberg";"";"";"";"";"";"13";"Nieder-Erlenbach";"640";"13.80";"13";"A2";59;"14";60437
2644;"An den Bergen";"";"";"";"";"";"13";"Nieder-Erlenbach";"640";"13.80";"13";"A2";59;"14";60437
2645;"An der Bleiche";"";"";"";"";"";"13";"Nieder-Erlenbach";"640";"13.80";"13";"A2";59;"14";60437
2646;"Bornweg";"";"";"";"";"";"13";"Nieder-Erlenbach";"640";"13.80";"13";"A2";59;"14";60437
2647;"Brandenburger Weg";"";"";"";"";"";"13";"Nieder-Erlenbach";"640";"13.80";"13";"A2";59;"14";60437
2648;"Egerländer Straße";"";"";"";"";"";"13";"Nieder-Erlenbach";"640";"13.80";"13";"A2";59;"14";60437
2649;"Erlenbacher Stadtweg";"gerade";"2";"";"52";"";"13";"Nieder-Erlenbach";"640";"13.80";"13";"A2";59;"14";60437
2649;"Erlenbacher Stadtweg";"gerade";"88";"";"96";"";"14";"Harheim";"660";"14.81";"14";"A2";62;"14";60437
2649;"Erlenbacher Stadtweg";"ungerade";"";"";"";"";"13";"Nieder-Erlenbach";"640";"13.80";"13";"A2";59;"14";60437
2650;"Feldbergblick";"";"";"";"";"";"13";"Nieder-Erlenbach";"640";"13.80";"13";"A2";59;"14";60437
2651;"Hinterm Hain";"";"";"";"";"";"13";"Nieder-Erlenbach";"640";"13.80";"13";"A2";59;"14";60437
2652;"Hohe Brück";"";"";"";"";"";"13";"Nieder-Erlenbach";"640";"13.80";"13";"A2";59;"14";60437
2653;"Im Fuchsloch";"";"";"";"";"";"13";"Nieder-Erlenbach";"640";"13.80";"13";"A2";59;"14";60437
2654;"Kapersburgstraße";"";"";"";"";"";"13";"Nieder-Erlenbach";"640";"13.80";"13";"A2";59;"14";60437
2655;"Kurmarkstraße";"";"";"";"";"";"13";"Nieder-Erlenbach";"640";"13.80";"13";"A2";59;"14";60437
2656;"Lochmühlstraße";"";"";"";"";"";"13";"Nieder-Erlenbach";"640";"13.80";"13";"A2";59;"14";60437
2657;"Märker Straße";"";"";"";"";"";"13";"Nieder-Erlenbach";"640";"13.80";"13";"A2";59;"14";60437
2658;"Neue Fahrt";"";"";"";"";"";"13";"Nieder-Erlenbach";"640";"13.80";"13";"A2";59;"14";60437
2659;"Niedereschbacher Straße";"";"";"";"";"";"13";"Nieder-Erlenbach";"640";"13.80";"13";"A2";59;"14";60437
2660;"Obere Burggasse";"";"";"";"";"";"13";"Nieder-Erlenbach";"640";"13.80";"13";"A2";59;"14";60437
2661;"Pommernstraße";"";"";"";"";"";"13";"Nieder-Erlenbach";"640";"13.80";"13";"A2";59;"14";60437
2662;"Schönblick";"";"";"";"";"";"13";"Nieder-Erlenbach";"640";"13.80";"13";"A2";59;"14";60437
2663;"Sudetenstraße";"";"";"";"";"";"13";"Nieder-Erlenbach";"640";"13.80";"13";"A2";59;"14";60437
2664;"Untere Burggasse";"";"";"";"";"";"13";"Nieder-Erlenbach";"640";"13.80";"13";"A2";59;"14";60437
2665;"Zum Erlengrund";"";"";"";"";"";"13";"Nieder-Erlenbach";"640";"13.80";"13";"A2";59;"14";60437
2666;"Zum Schäferköppel";"";"";"";"";"";"13";"Nieder-Erlenbach";"640";"13.80";"13";"A2";59;"14";60437
2667;"Zur Charlottenburg";"";"";"";"";"";"13";"Nieder-Erlenbach";"640";"13.80";"13";"A2";59;"14";60437
2668;"Zur Obermühle";"";"";"";"";"";"13";"Nieder-Erlenbach";"640";"13.80";"13";"A2";59;"14";60437
2669;"Alt-Kalbach";"";"";"";"";"";"12";"Kalbach-Riedberg";"650";"12.79";"12";"A2";60;"14";60437
