Straßennummer;Straßenname;Folge;Hausnr. (von);Zusatz zur Hausnr (von);Hausnr. (bis);Zusatz zur Hausnr (bis);Ortsbezirk;Stadtteil Name;Stadtbezirk;Stadtbezirksvorst;Schiedsamtsbezirk;Sozialrathausbezirk;Sozialbezirk;Polizeirevier;Postleitzahl
405;"Berliner Straße";"ungerade";"";"";"";"";"1 ";"Altstadt";"010";"1.01";" 1";"A1";1;"1";60311
406;"Bernadottestraße";"gerade";"";"";"";"";"8 ";"Praunheim";"426";"8.62";" 7";"A2";36;"14";60439
406;"Bernadottestraße";"ungerade";"";"";"";"";"8 ";"Heddernheim";"432";"8.62";" 8";"A2";36;"14";60439
407;"Bernburger Weg";"";"";"";"";"";"6 ";"Zeilsheim";"611";"6.49";"6B";"A7";56;"17";65931
408;"Bernhard-Mannfeld-Weg";"";"";"";"";"";"5 ";"Sachsenhausen-Süd";"332";"5.29";"5A";"A6";24;"8";60599
409;"Bernusstraße";"";"";"";"";"";"2 ";"Bockenheim";"362";"2.12";" 2";"A4";27;"13";60487
410;"Bertha-von-Suttner-Ring";"";"";"";"";"";"5 ";"Sachsenhausen-Süd";"323";"5.30";"5A";"A6";22;"8";60598
411;"Bertholdstraße";"";"";"";"";"";"8 ";"Praunheim";"426";"8.62";" 7";"A2";36;"14";60439
413;"Bertramstraße";"gerade";"14";"";"26";"";"9 ";"Dornbusch";"463";"9.69";" 9";"B3";41;"12";60320
413;"Bertramstraße";"gerade";"2";"";"8";"";"3 ";"Nordend-West";"202";"3.16";" 3";"B3";11;"12";60320
413;"Bertramstraße";"ungerade";"21";"";"45";"";"3 ";"Nordend-West";"202";"3.16";" 3";"B3";11;"12";60320
413;"Bertramstraße";"ungerade";"49";"";"95";"";"9 ";"Dornbusch";"462";"9.69";" 9";"B3";41;"12";60320
414;"Bertramswiese";"";"";"";"";"";"3 ";"Nordend-West";"202";"3.16";" 3";"B3";11;"12";60320
415;"Beselerstraße";"";"";"";"";"";"4 ";"Ostend";"252";"4.25";" 4";"A1";16;"5";60385
